,Date,Home,Away,Home Score,Away Score,OT,Conf,Result,Nuetral
0,2021-11-06,Purdue,Samford,82.0,62.0,97%,0,1,0
1,2021-11-09,Gonzaga,Dixie St.,97.0,63.0,,0,1,0
2,2021-11-09,Coastal Carolina,Ferrum,101.0,73.0,,0,1,0
3,2021-11-09,Duke,Kentucky,79.0,71.0,,0,1,1
4,2021-11-09,Nebraska Omaha,Hastings,67.0,57.0,,0,1,0
5,2021-11-09,Connecticut,Central Connecticut,99.0,48.0,,0,1,0
6,2021-11-09,Southern Miss,William Carey,81.0,67.0,,0,1,0
7,2021-11-09,South Alabama,Spring Hill,102.0,41.0,,0,1,0
8,2021-11-09,Michigan St.,Kansas,74.0,87.0,,0,0,1
9,2021-11-09,Chicago St.,St. Thomas,77.0,72.0,,0,1,0
10,2021-11-09,Idaho St.,Eastern Oregon,82.0,61.0,,0,1,0
11,2021-11-09,Winthrop,Mary Baldwin,110.0,78.0,,0,1,0
12,2021-11-09,LSU,Louisiana Monroe,101.0,39.0,,0,1,0
13,2021-11-09,American,Marist,77.0,73.0,OT,0,1,0
14,2021-11-09,Illinois,Jackson St.,71.0,47.0,,0,1,0
15,2021-11-09,Southern Utah,Bethesda,116.0,74.0,,0,1,0
16,2021-11-09,Charleston Southern,Johnson & Wales NC,118.0,71.0,,0,1,0
17,2021-11-09,San Francisco,LIU,98.0,64.0,,0,1,0
18,2021-11-09,Holy Cross,Regis MA,98.0,51.0,,0,1,0
19,2021-11-09,Drexel,Neumann,103.0,74.0,,0,1,0
20,2021-11-09,Missouri,Central Michigan,78.0,68.0,,0,1,0
21,2021-11-09,Virginia,Navy,58.0,66.0,,0,0,0
22,2021-11-09,Loyola Chicago,Coppin St.,103.0,45.0,,0,1,0
23,2021-11-09,Missouri St.,Southeast Missouri St.,94.0,99.0,,0,0,0
24,2021-11-09,Alabama,Louisiana Tech,93.0,64.0,,0,1,0
25,2021-11-09,Utah St.,UC Davis,69.0,72.0,,0,0,0
26,2021-11-09,North Texas,Oklahoma Christian,84.0,53.0,,0,1,0
27,2021-11-09,Yale,Vassar,88.0,42.0,,0,1,0
28,2021-11-09,San Diego St.,UC Riverside,66.0,53.0,,0,1,0
29,2021-11-09,Wagner,Hartford,77.0,59.0,,0,1,0
30,2021-11-09,Georgia St.,Brewton Parker,97.0,37.0,,0,1,0
31,2021-11-09,Delaware St.,Cairn,80.0,41.0,,0,1,0
32,2021-11-09,Memphis,Tennessee Tech,89.0,65.0,,0,1,0
33,2021-11-09,North Dakota St.,Concordia College MN,88.0,44.0,,0,1,0
34,2021-11-09,Lamar,Wiley,67.0,50.0,,0,1,0
35,2021-11-09,Little Rock,Southern Illinois,69.0,66.0,,0,1,0
36,2021-11-09,Hampton,Mid Atlantic Christian,101.0,51.0,,0,1,0
37,2021-11-09,Saint Joseph's,Maryland Eastern Shore,69.0,67.0,,0,1,0
38,2021-11-09,Virginia Tech,Maine,82.0,47.0,,0,1,0
39,2021-11-09,Western Carolina,Bowling Green,79.0,71.0,OT,0,1,0
40,2021-11-09,East Carolina,South Carolina St.,70.0,62.0,,0,1,0
41,2021-11-09,Army,New Paltz,83.0,52.0,,0,1,0
42,2021-11-09,Arkansas St.,Harding,81.0,55.0,,0,1,0
43,2021-11-09,Denver,Regis,68.0,65.0,,0,1,0
44,2021-11-09,Morgan St.,St. Mary's MD,118.0,55.0,,0,1,0
45,2021-11-09,Austin Peay,UT Southern,86.0,79.0,,0,1,0
46,2021-11-09,Iowa,Longwood,106.0,73.0,,0,1,0
47,2021-11-09,Louisiana,West Florida,81.0,47.0,,0,1,0
48,2021-11-09,Massachusetts,UMBC,77.0,60.0,,0,1,0
49,2021-11-09,Bryant,Fisher,122.0,54.0,,0,1,0
50,2021-11-09,Radford,Emory & Henry,84.0,72.0,,0,1,0
51,2021-11-09,Duquesne,Rider,73.0,61.0,,0,1,0
52,2021-11-09,Auburn,Morehead St.,77.0,54.0,,0,1,0
53,2021-11-09,Illinois St.,UNC Wilmington,68.0,63.0,,0,1,0
54,2021-11-09,UNC Greensboro,North Carolina A&T,57.0,53.0,,0,1,0
55,2021-11-09,Oklahoma,Northwestern St.,77.0,59.0,,0,1,0
56,2021-11-09,Texas,Houston Baptist,92.0,48.0,,0,1,0
57,2021-11-09,UT Rio Grande Valley,Texas A&M Intl,74.0,59.0,,0,1,0
58,2021-11-09,Jacksonville,Trinity Baptist,79.0,43.0,,0,1,0
59,2021-11-09,Arkansas,Mercer,74.0,61.0,,0,1,0
60,2021-11-09,Sacramento St.,William Jessup,89.0,59.0,,0,1,0
61,2021-11-09,UTEP,Western New Mexico,85.0,57.0,,0,1,0
62,2021-11-09,Alabama A&M,Tennessee St.,82.0,73.0,,0,1,0
63,2021-11-09,Saint Mary's,Prairie View A&M,87.0,68.0,,0,1,0
64,2021-11-09,UTSA,Trinity TX,97.0,66.0,,0,1,0
65,2021-11-09,VMI,Carlow,111.0,55.0,,0,1,0
66,2021-11-09,Cal Poly,Westcliff,86.0,53.0,,0,1,0
67,2021-11-09,Wright St.,Lake Erie,86.0,53.0,,0,1,0
68,2021-11-09,Fordham,Columbia,77.0,67.0,,0,1,0
69,2021-11-09,North Carolina,Loyola MD,83.0,67.0,,0,1,0
70,2021-11-09,Weber St.,Western Colorado,100.0,60.0,,0,1,0
71,2021-11-09,Stetson,Florida Memorial,74.0,67.0,,0,1,0
72,2021-11-09,Norfolk St.,Bridgewater VA,79.0,56.0,,0,1,0
73,2021-11-09,Merrimack,Emerson,77.0,48.0,,0,1,0
74,2021-11-09,Troy,Carver,104.0,42.0,,0,1,0
75,2021-11-09,Ohio,Belmont,92.0,80.0,,0,1,0
76,2021-11-09,Ohio St.,Akron,67.0,66.0,,0,1,0
77,2021-11-09,Creighton,Arkansas Pine Bluff,90.0,77.0,,0,1,0
78,2021-11-09,St. Bonaventure,Siena,75.0,47.0,,0,1,0
79,2021-11-09,Colorado,Montana St.,94.0,90.0,OT,0,1,0
80,2021-11-09,New Mexico St.,UC Irvine,62.0,51.0,,0,1,0
81,2021-11-09,South Dakota St.,Bradley,81.0,65.0,,0,1,0
82,2021-11-09,Oregon,Texas Southern,83.0,66.0,,0,1,0
83,2021-11-09,Maryland,Quinnipiac,83.0,69.0,,0,1,0
84,2021-11-09,Indiana,Eastern Michigan,68.0,62.0,,0,1,0
85,2021-11-09,Drake,Coe,87.0,61.0,,0,1,0
86,2021-11-09,Richmond,North Carolina Central,70.0,60.0,,0,1,0
87,2021-11-09,USC,Cal St. Northridge,89.0,49.0,,0,1,0
88,2021-11-09,Northwestern,Eastern Illinois,80.0,56.0,,0,1,0
89,2021-11-09,Iona,Appalachian St.,65.0,53.0,,0,1,0
90,2021-11-09,Colorado St.,Oral Roberts,109.0,80.0,,0,1,0
91,2021-11-09,Dayton,Illinois Chicago,64.0,54.0,,0,1,0
92,2021-11-09,Albany,Towson,56.0,77.0,,0,0,0
93,2021-11-09,La Salle,Sacred Heart,81.0,86.0,OT,0,0,0
94,2021-11-09,Santa Clara,Cal St. Fullerton,84.0,77.0,,0,1,0
95,2021-11-09,Binghamton,Cornell,69.0,76.0,,0,0,0
96,2021-11-09,BYU,Cleveland St.,69.0,59.0,,0,1,0
97,2021-11-09,Marquette,SIU Edwardsville,88.0,77.0,,0,1,0
98,2021-11-09,Florida,Elon,74.0,61.0,,0,1,0
99,2021-11-09,SMU,McNeese St.,86.0,62.0,,0,1,0
100,2021-11-09,St. John's,Mississippi Valley St.,119.0,61.0,,0,1,0
101,2021-11-09,VCU,Saint Peter's,57.0,54.0,,0,1,0
102,2021-11-09,North Dakota,Milwaukee,60.0,75.0,,0,0,0
103,2021-11-09,West Virginia,Oakland,60.0,53.0,,0,1,0
104,2021-11-09,Saint Louis,Central Arkansas,96.0,61.0,,0,1,0
105,2021-11-09,Xavier,Niagara,63.0,60.0,,0,1,0
106,2021-11-09,Syracuse,Lafayette,97.0,63.0,,0,1,0
107,2021-11-09,Incarnate Word,Texas St.,57.0,75.0,,0,0,0
108,2021-11-09,Clemson,Presbyterian,64.0,53.0,,0,1,0
109,2021-11-09,Fresno St.,Fresno Pacific,74.0,54.0,,0,1,0
110,2021-11-09,Furman,North Greenville,118.0,66.0,,0,1,0
111,2021-11-09,UAB,UNC Asheville,102.0,77.0,,0,1,0
112,2021-11-09,Northern Iowa,Nicholls St.,58.0,62.0,,0,0,0
113,2021-11-09,Middle Tennessee,Brescia,98.0,59.0,,0,1,0
114,2021-11-09,Washington St.,Alcorn St.,85.0,67.0,,0,1,0
115,2021-11-09,Boston College,Dartmouth,73.0,57.0,,0,1,0
116,2021-11-09,Murray St.,Cumberland,109.0,77.0,,0,1,0
117,2021-11-09,Nevada,Eastern Washington,91.0,76.0,,0,1,0
118,2021-11-09,Colgate,Northeastern,65.0,58.0,,0,1,0
119,2021-11-09,California,UC San Diego,67.0,80.0,,0,0,0
120,2021-11-09,Nebraska,Western Illinois,74.0,75.0,,0,0,0
121,2021-11-09,Butler,IUPUI,56.0,47.0,,0,1,0
122,2021-11-09,Oklahoma St.,UT Arlington,88.0,45.0,,0,1,0
123,2021-11-09,Utah,Abilene Christian,70.0,56.0,,0,1,0
124,2021-11-09,Stephen F. Austin,LSU Alexandria,82.0,73.0,,0,1,0
125,2021-11-09,Washington,Northern Illinois,64.0,71.0,,0,0,0
126,2021-11-09,Louisville,Southern,72.0,60.0,,0,1,0
127,2021-11-09,N.C. State,Bucknell,88.0,70.0,,0,1,0
128,2021-11-09,Providence,Fairfield,80.0,73.0,,0,1,0
129,2021-11-09,Rhode Island,Boston University,71.0,62.0,,0,1,0
130,2021-11-09,Georgia Tech,Miami OH,69.0,72.0,,0,0,0
131,2021-11-09,Grand Canyon,Grambling St.,74.0,53.0,,0,1,0
132,2021-11-09,George Mason,Stony Brook,74.0,52.0,,0,1,0
133,2021-11-09,Wofford,Bob Jones,117.0,79.0,,0,1,0
134,2021-11-09,Wichita St.,Jacksonville St.,60.0,57.0,,0,1,0
135,2021-11-09,Arizona St.,Portland,76.0,60.0,,0,1,0
136,2021-11-09,Loyola Marymount,Chattanooga,64.0,75.0,,0,0,0
137,2021-11-09,Tulane,Southeastern Louisiana,70.0,67.0,,0,1,0
138,2021-11-09,Iowa St.,Kennesaw St.,84.0,73.0,,0,1,0
139,2021-11-09,Valparaiso,Toledo,61.0,69.0,,0,0,0
140,2021-11-09,South Carolina,USC Upstate,78.0,60.0,,0,1,0
141,2021-11-09,Cincinnati,Evansville,65.0,43.0,,0,1,0
142,2021-11-09,Pittsburgh,The Citadel,63.0,78.0,,0,0,0
143,2021-11-09,Miami FL,Canisius,77.0,67.0,,0,1,0
