,Date,Home,Away,Home Score,Away Score,OT,Conf,Result,Nuetral
0,2023-11-06,Purdue,Samford,82.0,62.0,97%,0,1,0
1,2023-11-06,Saint Joseph's,Lafayette,78.0,62.0,93%,0,1,0
2,2023-11-06,Stephen F. Austin,North American,,,100%,0,1,0
3,2023-11-06,Utah St.,South Dakota School of,,,100%,0,1,0
4,2023-11-06,Fresno St.,Fresno Pacific,,,100%,0,1,0
5,2023-11-06,Charleston,Iona,79.0,72.0,74%,0,1,0
6,2023-11-06,Butler,Eastern Michigan,77.0,61.0,92%,0,1,0
7,2023-11-06,Tulane,Nicholls St.,84.0,66.0,94%,0,1,0
8,2023-11-06,San Francisco,Bethesda,,,100%,0,1,0
9,2023-11-06,Syracuse,New Hampshire,77.0,64.0,90%,0,1,0
10,2023-11-06,SMU,Southwestern Assemblie,,,100%,0,1,0
11,2023-11-06,Duquesne,Cleveland St.,75.0,66.0,79%,0,1,0
12,2023-11-06,VCU,McNeese St.,77.0,67.0,80%,0,1,0
13,2023-11-06,Penn St.,Delaware St.,79.0,61.0,95%,0,1,0
14,2023-11-06,Washington St.,Idaho,81.0,58.0,98%,0,1,0
15,2023-11-06,Grand Canyon,Southeast Missouri St.,81.0,63.0,94%,0,1,0
16,2023-11-06,Mississippi,Alabama St.,79.0,58.0,98%,0,1,0
17,2023-11-06,Washington,Bellarmine,75.0,63.0,88%,0,1,0
18,2023-11-06,Liberty,Mid Atlantic Christian,,,100%,0,1,0
19,2023-11-06,UAB,Bradley,73.0,69.0,66%,0,1,0
20,2023-11-06,Colorado St.,Louisiana Tech,75.0,67.0,75%,0,1,0
21,2023-11-06,Furman,North Greenville,,,100%,0,1,0
22,2023-11-06,Indiana St.,Saint Mary of the Wood,,,100%,0,1,0
23,2023-11-06,UC Davis,Jessup,,,100%,0,1,0
24,2023-11-06,UNC Wilmington,Mount Olive,,,100%,0,1,0
25,2023-11-06,California,St. Thomas,77.0,68.0,79%,0,1,0
26,2023-11-06,Belmont,Georgia St.,76.0,69.0,72%,0,1,0
27,2023-11-06,Wichita St.,Lipscomb,76.0,69.0,72%,0,1,0
28,2023-11-06,Vermont,Merrimack,72.0,57.0,91%,0,1,0
29,2023-11-06,Southern Miss,William Carey,,,100%,0,1,0
30,2023-11-06,Colgate,Brown,76.0,69.0,73%,0,1,0
31,2023-11-06,Louisville,UMBC,78.0,66.0,86%,0,1,0
32,2023-11-06,East Carolina,Ferrum,,,100%,0,1,0
33,2023-11-06,Richmond,VMI,78.0,61.0,94%,0,1,0
34,2023-11-06,Murray St.,Midway,,,100%,0,1,0
35,2023-11-06,Kent St.,Malone,,,100%,0,1,0
36,2023-11-06,Georgia Tech,Georgia Southern,74.0,64.0,81%,0,1,0
37,2023-11-06,South Dakota St.,Akron,72.0,70.0,58%,0,1,0
38,2023-11-06,Saint Louis,Southern Indiana,82.0,66.0,93%,0,1,0
39,2023-11-06,Hofstra,St. Joseph's NY,,,100%,0,1,0
40,2023-11-06,Minnesota,Bethune Cookman,78.0,60.0,95%,0,1,0
41,2023-11-06,Boston College,Fairfield,72.0,62.0,80%,0,1,0
42,2023-11-06,Middle Tennessee,Northern Kentucky,71.0,65.0,70%,0,1,0
43,2023-11-06,Wake Forest,Elon,81.0,61.0,97%,0,1,0
44,2023-11-06,Yale,Vassar,,,100%,0,1,0
45,2023-11-06,Saint Mary's,Cal St.Stanislaus,,,100%,0,1,0
46,2023-11-06,BYU,Houston Christian,92.0,60.0,99.8%,0,1,0
47,2023-11-06,Ohio St.,Oakland,82.0,61.0,97%,0,1,0
48,2023-11-06,Xavier,Robert Morris,83.0,59.0,98%,0,1,0
49,2023-11-06,Virginia,Tarleton St.,73.0,56.0,94%,0,1,0
50,2023-11-06,Memphis,Jackson St.,83.0,64.0,96%,0,1,0
51,2023-11-06,Iowa St.,Green Bay,80.0,53.0,99%,0,1,0
52,2023-11-06,TCU,Southern,81.0,55.0,99%,0,1,0
53,2023-11-06,Florida,Loyola MD,81.0,59.0,98%,0,1,0
54,2023-11-06,San Diego St.,Cal St. Fullerton,74.0,58.0,92%,0,1,0
55,2023-11-06,UCLA,Saint Francis,83.0,53.0,99.7%,0,1,0
