,Date,Home,Away,Home Score,Away Score,OT,Conf,Result,Nuetral
56,2023-11-06,Texas A&M,Texas A&M Commerce,79.0,57.0,98%,0,1,0
57,2023-11-06,Villanova,American,80.0,58.0,98%,0,1,0
58,2023-11-06,Wisconsin,Arkansas St.,75.0,58.0,94%,0,1,0
59,2023-11-06,Illinois,Eastern Illinois,84.0,55.0,99.6%,0,1,0
60,2023-11-06,Kentucky,New Mexico St.,80.0,62.0,95%,0,1,0
61,2023-11-06,North Carolina,Radford,80.0,62.0,95%,0,1,0
62,2023-11-06,Texas,Incarnate Word,86.0,54.0,99.8%,0,1,0
63,2023-11-06,Colorado,Towson,77.0,63.0,90%,0,1,0
64,2023-11-06,UCF,FIU,75.0,64.0,84%,0,1,0
65,2023-11-06,Northwestern,Binghamton,78.0,57.0,97%,0,1,0
66,2023-11-06,Miami FL,NJIT,83.0,60.0,98%,0,1,0
67,2023-11-06,St. Bonaventure,Longwood,74.0,61.0,89%,0,1,0
68,2023-11-06,Dayton,SIU Edwardsville,75.0,61.0,90%,0,1,0
69,2023-11-06,Oklahoma St.,Abilene Christian,76.0,66.0,83%,0,1,0
70,2023-11-06,South Carolina,USC Upstate,77.0,60.0,94%,0,1,0
71,2023-11-06,Virginia Tech,Coppin St.,83.0,57.0,99%,0,1,0
72,2023-11-06,West Virginia,Missouri St.,74.0,65.0,81%,0,1,0
73,2023-11-06,Pittsburgh,North Carolina A&T,83.0,57.0,99%,0,1,0
74,2023-11-06,N.C. State,The Citadel,81.0,62.0,96%,0,1,0
75,2023-11-06,Stanford,Cal St. Northridge,84.0,60.0,98%,0,1,0
76,2023-11-06,Nebraska,Lindenwood,84.0,58.0,99%,0,1,0
77,2023-11-06,Missouri,Arkansas Pine Bluff,85.0,61.0,98%,0,1,0
78,2023-11-06,Providence,Columbia,80.0,62.0,95%,0,1,0
79,2023-11-06,Cincinnati,Illinois Chicago,79.0,61.0,94%,0,1,0
80,2023-11-06,Utah,Eastern Washington,78.0,66.0,87%,0,1,0
81,2023-11-06,Clemson,Winthrop,79.0,66.0,88%,0,1,0
82,2023-11-06,Oklahoma,Central Michigan,78.0,57.0,97%,0,1,0
83,2023-11-06,LSU,Mississippi Valley St.,82.0,52.0,99.7%,0,1,0
84,2023-11-06,New Mexico,Texas Southern,82.0,66.0,93%,0,1,0
85,2023-11-06,Seton Hall,Saint Peter's,73.0,55.0,95%,0,1,0
86,2023-11-06,Arkansas,Alcorn St.,84.0,61.0,98%,0,1,0
87,2023-11-06,Davidson,Washington & Lee,,,100%,0,1,0
88,2023-11-06,UTEP,McMurry,,,100%,0,1,0
89,2023-11-06,Sacred Heart,Sarah Lawrence,,,100%,0,1,0
90,2023-11-06,Tennessee Martin,Champion Christian,,,100%,0,1,0
91,2023-11-06,Montana St.,Northwest Indian,,,100%,0,1,0
92,2023-11-06,High Point,St. Andrews Pres.,,,100%,0,1,0
93,2023-11-06,UMKC,Avila,,,100%,0,1,0
94,2023-11-06,Cal St. Bakersfield,Southern Utah,68.0,66.0,58%,0,1,0
95,2023-11-06,North Florida,Coastal Georgia,,,100%,0,1,0
96,2023-11-06,Nebraska Omaha,Doane,,,100%,0,1,0
97,2023-11-06,South Dakota,Mount Marty,,,100%,0,1,0
98,2023-11-06,Tulsa,Central Arkansas,77.0,71.0,72%,0,1,0
99,2023-11-06,Siena,Holy Cross,73.0,65.0,77%,0,1,0
100,2023-11-06,Grambling St.,UNT Dallas,,,100%,0,1,0
101,2023-11-06,Tennessee St.,Fisk,,,100%,0,1,0
102,2023-11-06,San Diego,Sonoma St.,,,100%,0,1,0
103,2023-11-06,Quinnipiac,Coast Guard,,,100%,0,1,0
104,2023-11-06,Jacksonville,Johnson FL,,,100%,0,1,0
105,2023-11-06,Buffalo,Fairleigh Dickinson,76.0,69.0,73%,0,1,0
106,2023-11-06,Wofford,Brevard,,,100%,0,1,0
107,2023-11-06,Norfolk St.,Penn St. Wilkes Barre,,,100%,0,1,0
108,2023-11-06,Coastal Carolina,Piedmont,,,100%,0,1,0
109,2023-11-06,Idaho St.,Warner Pacific,,,100%,0,1,0
110,2023-11-06,Army,Marist,68.0,66.0,59%,0,1,0
111,2023-11-06,Princeton,Rutgers,65.0,72.0,71%,0,0,1
112,2023-11-06,Georgia,Oregon,69.0,71.0,58%,0,0,1
113,2023-11-06,Kansas St.,USC,71.0,72.0,53%,0,0,1
114,2023-11-06,Bucknell,Delaware,68.0,74.0,29%,0,0,0
115,2023-11-06,Evansville,Miami OH,70.0,73.0,38%,0,0,0
116,2023-11-06,Western Michigan,North Dakota St.,69.0,72.0,40%,0,0,0
117,2023-11-06,Lehigh,Cornell,73.0,77.0,34%,0,0,0
118,2023-11-06,Little Rock,Texas St.,70.0,71.0,50%,0,0,0
119,2023-11-06,New Orleans,Millsaps,,,100%,0,1,0
120,2023-11-06,South Carolina St.,Voorhees,,,100%,0,1,0
121,2023-11-06,Prairie View A&M,Kansas Christian,,,100%,0,1,0
122,2023-11-06,Northwestern St.,Dallas Christian,,,100%,0,1,0
123,2023-11-06,Lamar,Jarvis Christian,,,100%,0,1,0
124,2023-11-06,Valparaiso,Trinity Christian,,,100%,0,1,0
125,2023-11-06,IUPUI,Spalding,,,100%,0,1,0
126,2023-11-06,Charleston Southern,Toccoa Falls,,,100%,0,1,0
127,2023-11-06,William & Mary,Regent,,,100%,0,1,0
128,2023-11-06,Campbell,Navy,67.0,64.0,58%,0,1,0
129,2023-11-06,Cal Poly,La Verne,,,100%,0,1,0
130,2023-11-06,South Alabama,Mobile,,,100%,0,1,0
131,2023-11-06,East Tennessee St.,King,,,100%,0,1,0
132,2023-11-06,UT Rio Grande Valley,Southwestern Adventist,,,100%,0,1,0
133,2023-11-06,Pacific,Sam Houston St.,70.0,69.0,53%,0,1,0
134,2023-11-06,Gardner Webb,Erskine,,,100%,0,1,0
135,2023-11-06,Louisiana,Youngstown St.,76.0,72.0,64%,0,1,0
136,2023-11-06,Cal Baptist,San Francisco St.,,,100%,0,1,0
137,2023-11-06,Old Dominion,Virginia Wesleyan,,,100%,0,1,0
138,2023-11-06,Illinois St.,Lourdes,,,100%,0,1,0
139,2023-11-06,Charlotte,Maine,70.0,62.0,77%,0,1,0
140,2023-11-06,Oregon St.,Linfield,,,100%,0,1,0
141,2023-11-06,Southern Illinois,Kentucky St.,,,100%,0,1,0
142,2023-11-06,Western Kentucky,Kentucky Wesleyan,,,100%,0,1,0
143,2023-11-06,Utah Valley,Carroll MT,,,100%,0,1,0
144,2023-11-06,Notre Dame,Niagara,69.0,60.0,78%,0,1,0
145,2023-11-06,George Mason,Monmouth,75.0,64.0,84%,0,1,0
146,2023-11-06,Fordham,Wagner,70.0,59.0,84%,0,1,0
147,2023-11-06,Marshall,Queens,80.0,74.0,70%,0,1,0
148,2023-11-06,Portland,Long Beach St.,78.0,77.0,54%,0,1,0
149,2023-11-06,Air Force,Portland St.,72.0,65.0,72%,0,1,0
150,2023-11-06,Toledo,Detroit Mercy,82.0,71.0,84%,0,1,0
151,2023-11-06,Temple,Maryland Eastern Shore,74.0,59.0,91%,0,1,0
152,2023-11-06,Mercer,Clark Atlanta,,,100%,0,1,0
153,2023-11-06,Pepperdine,Concordia CA,,,100%,0,1,0
154,2023-11-06,Rhode Island,Central Connecticut,73.0,62.0,83%,0,1,0
155,2023-11-06,Northern Colorado,Colorado College,,,100%,0,1,0
156,2023-11-06,UTSA,Western Illinois,75.0,68.0,74%,0,1,0
157,2023-11-06,Howard,Hampton,75.0,71.0,66%,0,1,0
158,2023-11-06,UC San Diego,Denver,76.0,70.0,74%,0,1,0
159,2023-11-06,Milwaukee,Wisconsin Stout,,,100%,0,1,0
160,2023-11-06,Rider,Immaculata,,,100%,0,1,0
161,2023-11-06,Harvard,Massachusetts Boston,,,100%,0,1,0
162,2023-11-06,Northeastern,Boston University,69.0,61.0,77%,0,1,0
163,2023-11-06,UMass Lowell,Rivier,,,100%,0,1,0
164,2023-11-06,Bryant,Manhattan,77.0,65.0,85%,0,1,0
165,2023-11-06,Troy,Fort Lauderdale,,,100%,0,1,0
166,2023-11-06,North Alabama,Blue Mountain,,,100%,0,1,0
167,2023-11-06,George Washington,Stonehill,78.0,66.0,86%,0,1,0
168,2023-11-06,Penn,John Jay,,,100%,0,1,0
169,2023-11-06,UT Arlington,Oral Roberts,73.0,71.0,57%,0,1,0
170,2023-11-06,Bowling Green,Chicago St.,78.0,67.0,83%,0,1,0
171,2023-11-06,Chattanooga,Covenant,,,100%,0,1,0
172,2023-11-06,Austin Peay,Life,,,100%,0,1,0
173,2023-11-06,Southeastern Louisiana,Delta St.,,,100%,0,1,0
174,2023-11-06,Michigan St.,James Madison,80.0,63.0,94%,0,1,0
175,2023-11-06,Stetson,Trinity Baptist,,,100%,0,1,0
176,2023-11-06,Marquette,Northern Illinois,85.0,61.0,99%,0,1,0
177,2023-11-06,Duke,Dartmouth,83.0,58.0,99%,0,1,0
178,2023-11-06,Connecticut,Northern Arizona,81.0,58.0,98%,0,1,0
179,2023-11-06,Kansas,North Carolina Central,85.0,54.0,99.7%,0,1,0
180,2023-11-06,Tennessee,Tennessee Tech,81.0,53.0,99%,0,1,0
181,2023-11-06,Alabama,Morehead St.,84.0,62.0,98%,0,1,0
182,2023-11-06,Houston,Louisiana Monroe,81.0,53.0,99%,0,1,0
183,2023-11-06,Arizona,Morgan St.,93.0,60.0,99.9%,0,1,0
184,2023-11-07,Weber St.,Benedictine Mesa,,,100%,0,1,0
185,2023-11-07,Vanderbilt,Presbyterian,78.0,60.0,95%,0,1,0
186,2023-11-07,Baylor,Auburn,72.0,71.0,55%,0,1,1
187,2023-11-07,Maryland,Mount St. Mary's,77.0,55.0,97%,0,1,0
188,2023-11-07,Massachusetts,Albany,77.0,69.0,78%,0,1,0
189,2023-11-07,UC Riverside,California Merced,,,100%,0,1,0
190,2023-11-07,Boise St.,Vanguard,,,100%,0,1,0
191,2023-11-07,Ball St.,Goshen,,,100%,0,1,0
192,2023-11-07,DePaul,Purdue Fort Wayne,79.0,66.0,89%,0,1,0
193,2023-11-07,Montana,Northwest Indian,,,100%,0,1,0
194,2023-11-07,Nevada,Sacramento St.,74.0,61.0,89%,0,1,0
195,2023-11-07,Michigan,UNC Asheville,76.0,64.0,88%,0,1,0
196,2023-11-07,La Salle,Drexel,68.0,69.0,46%,0,0,0
197,2023-11-07,Kennesaw St.,Oakwood,,,100%,0,1,0
198,2023-11-07,St. John's,Stony Brook,78.0,61.0,95%,0,1,0
199,2023-11-07,Appalachian St.,Oakland City,,,100%,0,1,0
200,2023-11-07,Rice,St. Thomas TX,,,100%,0,1,0
201,2023-11-07,Eastern Kentucky,West Virginia Tech,,,100%,0,1,0
202,2023-11-07,Indiana,Florida Gulf Coast,77.0,66.0,86%,0,1,0
203,2023-11-07,Iowa,North Dakota,85.0,67.0,95%,0,1,0
204,2023-11-07,Georgetown,Le Moyne,82.0,61.0,97%,0,1,0
205,2023-11-07,North Texas,Northern Iowa,69.0,65.0,66%,0,1,0
206,2023-11-07,Loyola Marymount,Westcliff,,,100%,0,1,0
207,2023-11-07,Creighton,Florida A&M,83.0,53.0,99.7%,0,1,0
208,2023-11-07,Texas A&M Corpus Chris,Southwestern Adventist,,,100%,0,1,0
209,2023-11-07,San Jose St.,UC Irvine,66.0,67.0,46%,0,0,0
210,2023-11-07,Western Carolina,Dalton St.,,,100%,0,1,0
211,2023-11-07,Jacksonville St.,Brescia,,,100%,0,1,0
212,2023-11-07,Wyoming,Northern New Mexico,,,100%,0,1,0
213,2023-11-08,UNLV,Southern,80.0,60.0,96%,0,1,0
214,2023-11-08,Texas Tech,Texas A&M Commerce,74.0,55.0,96%,0,1,0
215,2023-11-08,LIU,Fisk,,,100%,0,1,0
216,2023-11-08,Santa Clara,Utah Tech,78.0,69.0,79%,0,1,0
217,2023-11-08,North Dakota St.,Mount Marty,,,100%,0,1,0
218,2023-11-08,Eastern Illinois,Monmouth IL,,,100%,0,1,0
219,2023-11-08,Syracuse,Canisius,77.0,66.0,86%,0,1,0
220,2023-11-08,Delaware,Goldey Beacom,,,100%,0,1,0
221,2023-11-08,Penn,Bucknell,76.0,65.0,85%,0,1,0
222,2023-11-08,Portland,Lewis & Clark,,,100%,0,1,0
223,2023-11-08,Morehead St.,Shawnee St.,,,100%,0,1,0
224,2023-11-08,SMU,Western Illinois,78.0,62.0,93%,0,1,0
225,2023-11-08,Loyola Chicago,Florida Atlantic,69.0,72.0,38%,0,0,0
226,2023-11-08,Winthrop,Brevard,,,100%,0,1,0
227,2023-11-08,Fairleigh Dickinson,Penn St. Brandywine,,,100%,0,1,0
228,2023-11-08,Drake,Lipscomb,77.0,67.0,84%,0,1,0
229,2023-11-08,Cleveland St.,Defiance,,,100%,0,1,0
230,2023-11-08,Saint Louis,Lincoln MO,,,100%,0,1,0
231,2023-11-08,New Hampshire,Curry,,,100%,0,1,0
232,2023-11-08,Maine,Maine Presque Isle,,,100%,0,1,0
233,2023-11-08,Cornell,Morrisville St.,,,100%,0,1,0
234,2023-11-08,Bryant,Fisher,,,100%,0,1,0
235,2023-11-08,Arizona St.,Mississippi St.,63.0,70.0,72%,0,0,1
236,2023-11-08,San Diego,Jackson St.,72.0,71.0,52%,0,1,0
237,2023-11-08,Ohio,Troy,77.0,68.0,79%,0,1,0
238,2023-11-08,Alcorn St.,Xavier LA,,,100%,0,1,0
239,2023-11-08,Seattle,Prairie View A&M,77.0,61.0,93%,0,1,0
240,2023-11-08,New Mexico St.,Sul Ross St.,,,100%,0,1,0
241,2023-11-08,Northern Colorado,Northern New Mexico,,,100%,0,1,0
242,2023-11-09,Norfolk St.,The Apprentice School,,,100%,0,1,0
243,2023-11-09,Southern Utah,Life Pacific,,,100%,0,1,0
244,2023-11-09,Baylor,John Brown,,,100%,0,1,0
245,2023-11-09,SMU,Lamar,79.0,60.0,95%,0,1,0
246,2023-11-09,Denver,Cal Poly,71.0,65.0,73%,0,1,0
247,2023-11-09,Tennessee St.,Kentucky St.,,,100%,0,1,0
248,2023-11-09,Sam Houston St.,Utah Valley,71.0,67.0,66%,0,1,0
249,2023-11-09,UC Santa Barbara,Portland St.,76.0,69.0,76%,0,1,0
250,2023-11-09,Hampton,Mid Atlantic Christian,,,100%,0,1,0
251,2023-11-09,Merrimack,Worcester St.,,,100%,0,1,0
252,2023-11-09,Evansville,St. Louis Pharmacy,,,100%,0,1,0
253,2023-11-09,South Florida,South Carolina St.,80.0,63.0,94%,0,1,0
254,2023-11-09,SIU Edwardsville,North Park,,,100%,0,1,0
255,2023-11-09,Presbyterian,Columbia International,,,100%,0,1,0
256,2023-11-09,UTEP,Univ. of Science and A,,,100%,0,1,0
257,2023-11-09,UC Davis,Pepperdine,77.0,72.0,69%,0,1,0
258,2023-11-09,Idaho,Cal St. Northridge,70.0,73.0,42%,0,0,0
259,2023-11-09,Wagner,Molloy,,,100%,0,1,0
260,2023-11-09,USC,Cal St. Bakersfield,78.0,55.0,98%,0,1,0
261,2023-11-09,Iowa St.,Lindenwood,79.0,51.0,99%,0,1,0
262,2023-11-09,North Carolina Central,Virginia Lynchburg,,,100%,0,1,0
263,2023-11-09,Middle Tennessee,Stephen F. Austin,72.0,70.0,54%,0,1,0
264,2023-11-09,Robert Morris,Point Park,,,100%,0,1,0
265,2023-11-09,TCU,Nebraska Omaha,84.0,62.0,98%,0,1,0
266,2023-11-09,Georgia Tech,Howard,77.0,67.0,81%,0,1,0
267,2023-11-09,Kent St.,James Madison,75.0,71.0,64%,0,1,0
268,2023-11-09,North Alabama,Alabama A&M,76.0,64.0,85%,0,1,0
269,2023-11-09,William & Mary,American,68.0,67.0,55%,0,1,0
270,2023-11-09,Charleston Southern,North Florida,72.0,71.0,53%,0,1,0
271,2023-11-09,Wichita St.,Western Kentucky,73.0,68.0,68%,0,1,0
272,2023-11-09,Tulane,Northwestern St.,84.0,66.0,95%,0,1,0
273,2023-11-09,Purdue Fort Wayne,Andrews,,,100%,0,1,0
274,2023-11-09,San Francisco,Saint Francis,82.0,59.0,98%,0,1,0
275,2023-11-09,Michigan St.,Southern Indiana,85.0,56.0,99.6%,0,1,0
276,2023-11-09,Green Bay,St. Francis IL,,,100%,0,1,0
277,2023-11-09,VMI,Christendom,,,100%,0,1,0
278,2023-11-09,Saint Mary's,New Mexico,73.0,68.0,66%,0,1,0
279,2023-11-09,Nebraska,Florida A&M,80.0,57.0,98%,0,1,0
280,2023-11-09,Chicago St.,Mercer,67.0,69.0,45%,0,0,0
281,2023-11-09,Morgan St.,Cheyney,,,100%,0,1,0
282,2023-11-09,Stonehill,Army,67.0,68.0,48%,0,0,0
283,2023-11-09,Washington,Northern Kentucky,74.0,63.0,84%,0,1,0
284,2023-11-09,San Jose St.,Bethesda,,,100%,0,1,0
285,2023-11-09,Coppin St.,Towson,62.0,74.0,12%,0,0,0
286,2023-11-09,Rhode Island,Fairfield,70.0,63.0,72%,0,1,0
287,2023-11-09,Elon,East Tennessee St.,67.0,69.0,43%,0,0,0
288,2023-11-09,FIU,Tarleton St.,74.0,68.0,70%,0,1,0
289,2023-11-10,Davidson,Maryland,62.0,74.0,86%,0,0,1
290,2023-11-10,Southern Illinois,Queens,71.0,67.0,65%,0,1,0
291,2023-11-10,Rutgers,Boston University,75.0,56.0,96%,0,1,0
292,2023-11-10,Oregon St.,Troy,72.0,66.0,71%,0,1,0
293,2023-11-10,California,Pacific,75.0,69.0,69%,0,1,0
294,2023-11-10,Florida St.,Kennesaw St.,78.0,66.0,85%,0,1,0
295,2023-11-10,N.C. State,Abilene Christian,79.0,67.0,86%,0,1,0
296,2023-11-10,Florida Gulf Coast,Ave Maria,,,100%,0,1,0
297,2023-11-10,Rice,Harvard,75.0,67.0,77%,0,1,0
298,2023-11-10,Pittsburgh,Binghamton,78.0,59.0,96%,0,1,0
299,2023-11-10,Miami FL,UCF,73.0,67.0,73%,0,1,0
300,2023-11-10,Michigan,Youngstown St.,80.0,65.0,91%,0,1,0
301,2023-11-10,Arkansas,Gardner Webb,80.0,60.0,96%,0,1,0
302,2023-11-10,Louisville,Chattanooga,76.0,69.0,76%,0,1,0
303,2023-11-10,Furman,Belmont,78.0,73.0,66%,0,1,0
304,2023-11-10,Hofstra,Princeton,74.0,71.0,63%,0,1,0
305,2023-11-10,Minnesota,UTSA,77.0,67.0,82%,0,1,0
306,2023-11-10,McNeese St.,Biblical Studies,,,100%,0,1,0
307,2023-11-10,LSU,Nicholls St.,81.0,58.0,98%,0,1,0
308,2023-11-10,Iowa,Alabama St.,87.0,60.0,99%,0,1,0
309,2023-11-10,Kansas St.,Bellarmine,79.0,60.0,96%,0,1,0
310,2023-11-10,Cal Baptist,Jackson St.,71.0,66.0,70%,0,1,0
311,2023-11-10,UCLA,Lafayette,78.0,53.0,99%,0,1,0
312,2023-11-10,Virginia,Florida,67.0,66.0,53%,0,1,1
313,2023-11-10,Eastern Kentucky,Wilberforce,,,100%,0,1,0
314,2023-11-10,Utah,UC Riverside,76.0,60.0,93%,0,1,0
315,2023-11-10,Oklahoma,Mississippi Valley St.,81.0,51.0,99.7%,0,1,0
316,2023-11-10,Cincinnati,Detroit Mercy,82.0,62.0,96%,0,1,0
317,2023-11-10,Gonzaga,Yale,83.0,68.0,91%,0,1,0
318,2023-11-10,The Citadel,Boston College,67.0,72.0,30%,0,0,0
319,2023-11-10,Illinois Chicago,Little Rock,75.0,72.0,61%,0,1,0
320,2023-11-10,Murray St.,Tennessee Tech,78.0,64.0,91%,0,1,0
321,2023-11-10,Navy,Temple,64.0,68.0,37%,0,0,0
322,2023-11-10,St. Thomas,Idaho St.,73.0,67.0,70%,0,1,0
323,2023-11-10,South Dakota,UT Rio Grande Valley,73.0,74.0,47%,0,0,0
324,2023-11-10,Colorado,Grambling St.,80.0,58.0,98%,0,1,0
325,2023-11-10,Villanova,Le Moyne,87.0,54.0,99.9%,0,1,0
326,2023-11-10,Missouri,Memphis,77.0,76.0,50%,0,1,0
327,2023-11-10,Georgia,Wake Forest,75.0,69.0,69%,0,1,0
328,2023-11-10,Stony Brook,St. Joseph's NY Long I,,,100%,0,1,0
329,2023-11-10,Dartmouth,UMass Lowell,71.0,72.0,45%,0,0,0
330,2023-11-10,Duke,Arizona,76.0,73.0,60%,0,1,0
331,2023-11-10,West Virginia,Monmouth,81.0,62.0,96%,0,1,0
332,2023-11-10,Oral Roberts,Mid America Christian,,,100%,0,1,0
333,2023-11-10,Illinois,Oakland,85.0,61.0,98%,0,1,0
334,2023-11-10,Marquette,Rider,84.0,61.0,98%,0,1,0
335,2023-11-10,Ohio St.,Texas A&M,70.0,68.0,57%,0,1,0
336,2023-11-10,Mississippi,Eastern Washington,76.0,68.0,77%,0,1,0
337,2023-11-10,Charlotte,Liberty,63.0,68.0,33%,0,0,0
338,2023-11-10,George Mason,Austin Peay,71.0,66.0,69%,0,1,0
339,2023-11-10,Clemson,UAB,75.0,71.0,67%,0,1,1
340,2023-11-10,South Carolina,Virginia Tech,68.0,69.0,52%,0,0,1
341,2023-11-10,Butler,Southeast Missouri St.,79.0,63.0,93%,0,1,0
342,2023-11-10,Central Arkansas,Hendrix,,,100%,0,1,0
343,2023-11-10,Texas,Delaware St.,83.0,55.0,99%,0,1,0
344,2023-11-10,Northwestern,Dayton,69.0,62.0,74%,0,1,0
345,2023-11-10,BYU,San Diego St.,70.0,68.0,58%,0,1,0
346,2023-11-10,LIU,Air Force,62.0,73.0,16%,0,0,0
347,2023-11-10,Bethune Cookman,Trinity FL,,,100%,0,1,0
348,2023-11-10,Kentucky,Texas A&M Commerce,82.0,58.0,98%,0,1,0
349,2023-11-10,Valparaiso,IUPUI,70.0,67.0,61%,0,1,0
350,2023-11-10,Washington St.,Prairie View A&M,77.0,58.0,96%,0,1,0
351,2023-11-10,Charleston,Duquesne,74.0,76.0,55%,0,0,1
352,2023-11-10,Penn St.,Lehigh,79.0,65.0,90%,0,1,0
353,2023-11-10,VCU,Samford,74.0,67.0,73%,0,1,0
354,2023-11-10,Marshall,Radford,74.0,73.0,51%,0,1,1
355,2023-11-10,Oregon,Montana,77.0,62.0,91%,0,1,0
356,2023-11-10,Quinnipiac,Central Connecticut,73.0,66.0,73%,0,1,0
357,2023-11-10,Vanderbilt,USC Upstate,81.0,65.0,93%,0,1,0
358,2023-11-10,Wisconsin,Tennessee,65.0,64.0,55%,0,1,0
359,2023-11-10,Auburn,Southeastern Louisiana,84.0,62.0,98%,0,1,0
360,2023-11-10,Stanford,Sacramento St.,76.0,60.0,93%,0,1,0
361,2023-11-10,Alabama,Indiana St.,85.0,68.0,94%,0,1,0
362,2023-11-10,Saint Joseph's,Penn,78.0,69.0,80%,0,1,0
363,2023-11-10,Akron,Southern Miss,70.0,66.0,67%,0,1,0
364,2023-11-10,Kansas,Manhattan,86.0,53.0,99.9%,0,1,0
365,2023-11-10,Xavier,Jacksonville,77.0,58.0,96%,0,1,0
366,2023-11-10,Colorado St.,Wright St.,80.0,72.0,77%,0,1,0
367,2023-11-10,UNC Greensboro,North Carolina A&T,78.0,58.0,97%,0,1,0
368,2023-11-10,Purdue,Morehead St.,80.0,57.0,98%,0,1,0
369,2023-11-10,Iona,Sacred Heart,78.0,68.0,82%,0,1,0
370,2023-11-11,Niagara,Bucknell,70.0,61.0,79%,0,1,0
371,2023-11-11,East Carolina,Campbell,75.0,62.0,88%,0,1,0
372,2023-11-11,Maryland Eastern Shore,Cairn,,,100%,0,1,0
373,2023-11-11,St. Bonaventure,Canisius,77.0,62.0,92%,0,1,0
